,price
2807,330000
14924,395000
14820,295000
970,265000
11207,435000
15681,1640000
4013,521450
8030,218000
19984,377000
3618,286300
12545,313000
2857,1840000
14759,110000
10227,310000
11253,245700
10194,245000
1655,425000
5894,234900
16063,370000
15066,683000
16978,296500
7412,459000
9358,615000
18136,399000
4738,666000
4177,235000
12104,279900
7233,325000
3407,260000
15299,622500
10310,185000
2063,550000
13969,400000
2990,313500
11173,525000
6535,442500
9251,650000
15542,2300000
19412,794500
536,452000
13051,496600
6882,509500
9280,510000
0,221900
20098,375000
10420,640000
18283,425000
13611,1760000
20714,380000
18067,612000
15147,1950000
18727,685000
9211,305000
847,628000
15721,300000
8026,399000
8440,1250000
17821,515000
2603,525000
15789,426000
3796,851500
11746,250000
17739,217000
13594,801501
5306,390000
4181,335000
4490,393000
19335,365000
21475,352500
17968,2030000
827,175000
796,737500
11208,1450000
405,650000
3898,550000
14523,760000
4191,665900
10205,700000
16939,1230000
16259,341000
4642,280000
2106,272000
18370,455000
17487,268000
12775,537000
16863,425000
9916,1200000
19735,379900
19365,399700
8110,333000
3877,357000
13787,535000
19664,425000
10212,270000
8572,437850
1562,607010
6016,294000
16792,1650000
5005,419950
17372,297000
8720,650000
4963,1580000
19810,730000
9655,514000
20989,514700
7361,1150000
15971,185000
11653,790000
4522,320000
13055,739000
6559,573000
20186,755000
12009,1500000
11203,427000
5157,822000
7806,490000
20593,805000
6026,822000
10065,333760
10652,178500
21225,332000
8971,1080000
7931,520000
11767,238000
16670,433000
9739,309950
13426,481000
253,349500
5378,329000
15081,257000
9014,440000
12121,577000
10211,292500
7930,535000
9376,275000
2350,625000
10591,783200
17884,330000
19091,615000
1325,625000
191,166950
1057,528000
11076,299900
11757,592350
16652,395900
21127,1880000
4306,535000
11711,648000
16791,300000
6764,311000
15710,605000
17347,725000
6636,350000
21007,420000
17171,640000
4511,749000
3203,442000
1890,449500
12046,655000
4060,526000
19684,715000
18548,405000
4107,350000
8777,1800000
12880,400000
15195,471000
3953,700000
223,325000
6510,775000
9167,240000
12062,450000
5702,798000
1886,410500
8395,210000
13288,740000
4276,370000
10867,238950
6075,1280000
13033,174950
11262,600000
8976,503045
15245,375000
10413,750000
11582,1190000
4645,380000
5051,475000
17890,1600000
4594,534500
7922,659000
12915,575000
2618,290300
16043,500000
4658,540000
19304,330000
5836,287000
19944,950000
10523,205000
17542,265000
12413,317000
15012,250000
8398,239300
20998,589410
7933,545000
18416,295000
4116,405000
18354,975000
17000,917000
6802,215000
128,822500
14954,402000
10900,535000
19177,935000
12675,312500
3873,408000
1729,1680000
6781,585000
17770,234000
2222,535000
527,1600000
14646,620000
15743,962800
6174,769000
3624,410000
3517,570000
9858,600000
19460,492650
8881,405000
14668,220000
17883,975000
11718,1280000
1860,405000
13047,110000
21151,654000
421,625000
19506,499000
14899,329500
16740,476000
15995,505000
13129,730100
1074,320000
10382,344900
12295,280000
4399,515000
16408,352750
16543,249900
7617,481500
11903,419500
2549,265000
15770,517000
9572,545000
200,210000
21565,645000
13423,1040000
2243,510000
7717,410000
4311,688000
11578,385000
8129,565000
4425,1670000
12704,460000
12935,436000
9935,749500
20358,329445
1848,175000
11572,422000
9691,357000
10910,600000
18633,247500
11983,738000
14362,326000
2235,1760000
1256,321000
5113,1310000
17667,2010000
8015,450000
5235,292600
17363,492500
19104,827000
4805,567000
13171,680000
8198,330000
20196,570000
6394,1580000
3897,330000
4045,227064
256,385000
17918,1350000
8685,1490000
11278,312000
2658,202500
4809,370000
14342,1580000
19526,588000
9187,240000
16575,740000
17402,739000
368,785000
6749,385000
13842,390000
11092,305000
1425,350000
12373,207000
15376,679000
8055,902000
9676,450000
19911,340000
2132,655000
16756,437500
6098,340000
20665,795000
15300,550000
18669,525000
19272,208500
15427,278226
11575,359900
8253,787888
4550,540000
19875,395000
14863,234950
6653,515000
2722,438000
5633,450000
21530,589999
14984,1640000
12517,432000
5087,475000
11592,625000
18282,518000
5245,205000
2981,740000
12926,360000
20051,475000
7952,293000
20521,2950000
13247,1280000
9109,399990
45,488000
6096,495000
2316,583000
8837,650000
15696,480000
14731,410000
20157,550000
11155,620000
3950,317000
20526,375000
7779,400000
13223,910000
16909,353000
3616,122000
17386,225000
8743,445000
6776,292000
13069,531000
4888,952000
638,314500
244,480000
9406,430000
17394,436000
16352,1200000
4582,369950
16880,300000
8319,239950
7162,445000
11683,1080000
12,310000
74,349000
8918,366000
20817,489950
20707,507950
20967,857326
9594,599000
5603,835000
2526,627000
14198,602500
2394,995000
12071,410000
8870,364500
15935,655500
2913,420000
8421,640000
1686,374000
11656,410000
8866,392000
2305,302000
12354,417000
12115,467500
1391,325000
15919,765000
15322,497500
13770,293550
15486,601002
9612,390000
8736,490000
3513,325000
2606,561000
12784,726000
14632,592500
14223,1630000
396,530000
13386,770000
11084,1300000
19617,380000
1156,790000
13798,300000
16110,285000
3132,395000
18769,1270000
3405,1570000
9820,280000
14487,635000
4610,880000
5083,232000
7492,365000
19962,459000
318,548000
18764,424000
10638,510000
17603,293000
17992,1320000
12346,305000
3141,589000
801,1220000
14665,265000
5330,625000
1071,1240000
17251,613500
7455,259900
11955,378000
17055,219950
10353,600000
16466,619500
5253,690000
16169,255544
9810,753000
14809,380000
16587,710000
12865,310000
7688,389000
13534,295000
8087,4670000
18807,474950
8991,320000
19106,747500
18154,230000
20423,344000
1149,492000
12095,1430000
6966,736500
10897,427000
10912,725000
5504,578000
9556,650000
16685,1150000
9348,325000
13375,740000
16759,600000
15908,239000
13642,460000
13026,413000
15755,407500
1555,307500
20320,425000
3461,1230000
12727,530000
20631,799000
18527,475000
19828,418395
1512,190000
17081,640000
7388,366000
12145,700000
18753,443000
8072,540000
2452,306000
13887,223000
5434,340000
757,1310000
17337,800000
7401,425000
18687,788000
6436,595000
6843,334950
12449,650000
2391,300000
21299,627000
17522,368500
14790,513000
5982,194000
15193,1900000
18503,849000
2625,4500000
11520,283000
14079,558000
1505,850000
15600,275000
15496,537000
19632,348000
6065,525000
11375,317500
4266,199500
14444,287000
4762,675000
18326,208000
18974,280000
2517,462000
5897,942500
15776,455000
4949,278000
3705,1350000
689,396000
8996,985000
2850,534000
9503,390000
3826,429592
18355,1140000
15557,180000
2564,1650000
14794,189000
3916,210000
18301,835000
9824,670000
3152,288400
224,328000
12679,500000
8684,490500
10235,1360000
852,438000
17231,349900
17972,351000
13959,625000
7316,355000
10175,725000
2070,884250
816,310000
16841,546800
4269,912000
17677,605000
11449,350000
11859,290000
13229,316000
13398,696500
21368,499990
1635,325000
20488,515000
4710,412000
9536,490000
5066,607000
5410,290000
17757,539000
18668,267000
11223,225000
12666,627500
15992,1350000
8987,205000
17618,605004
20240,278000
15775,400000
3807,799000
18772,650000
16504,360000
6707,750000
19101,675000
14394,265800
9515,464000
19642,480000
4798,410000
9845,448175
20490,319900
11002,850000
15038,1540000
5178,623000
10099,679975
1078,325000
13910,235500
18221,415000
4781,470000
7025,415000
3074,650000
5974,205000
5183,329000
5614,435000
10296,285000
14539,1990000
9110,860000
19780,523950
12835,737000
7129,305000
6588,814000
8953,675000
3932,215000
14782,600000
4920,832500
6981,217000
3497,980000
4431,610000
1175,565000
18423,230000
362,329500
6499,219950
8208,190000
9337,298800
731,315000
1619,208000
1126,195000
10802,442500
445,400000
1820,367500
923,451000
7107,528000
7423,1250000
13292,265000
12489,627250
3709,455000
1128,369000
16348,600000
2954,329500
15894,427500
12330,415000
10062,579000
10700,420000
8974,780000
11619,407000
16447,440000
6593,425000
6388,800000
18512,602000
5408,530000
13337,336000
15255,229000
14837,400000
12137,195000
3376,970000
20932,280000
16731,244500
1885,785500
2899,685000
11102,378000
15021,537000
20142,535000
15643,799950
15009,562500
3186,200000
7111,738950
5216,239000
4553,245000
3450,1230000
997,189950
9256,315000
8410,710000
1235,270000
13283,1130000
18616,380000
10841,899000
9488,308000
6028,487600
1466,440000
2496,300000
11496,250000
3023,453000
17782,749000
17001,957000
17729,809950
17406,290000
13479,620000
14660,860000
5150,377691
2982,991700
359,679900
10208,685000
11404,1300000
14106,675000
883,930000
6866,507500
9011,580000
19992,341000
12671,252000
19743,420000
5671,1420000
17627,390000
3803,240000
21011,727000
19007,425000
12715,340000
19641,369950
17732,635000
14337,319000
1790,686000
20773,483453
8025,920000
2938,335000
5156,1300000
8163,370000
11327,590000
13823,515000
17232,690000
10148,900000
7018,770000
9342,551870
4434,448000
1739,785000
18514,220000
10266,597157
12090,590000
3578,680000
3831,349950
1197,277000
13187,658500
15657,1680000
7290,395000
12714,130000
20827,1260000
10515,351358
10901,360000
9357,467500
21430,410000
18800,520000
294,550000
8834,400000
16949,405000
17614,725000
10977,395000
20595,680000
8234,220000
2965,650000
988,484950
12805,310000
10320,839990
6520,254000
9586,700000
2272,560000
4190,360000
2373,575000
10457,265000
8493,360000
19475,540000
8144,270000
552,451000
20733,265000
10243,510000
16044,367500
7928,2900000
2095,383000
4057,465000
11730,126000
20620,451300
4097,125000
19907,315000
4319,410000
3099,1500000
14210,441000
16272,850000
19917,408000
8452,350000
19678,325000
15154,507000
19198,374500
9074,679000
7245,950000
8229,621000
5959,255000
20371,342000
1601,800000
7600,518000
11503,210000
3538,326000
8816,425000
2672,689000
20276,919990
1865,475000
18947,480000
7381,450000
2181,499000
3443,955500
1310,225000
3732,2450000
11538,515000
8769,438000
18691,692500
14274,420000
20525,286800
17071,503000
11059,870000
6720,305000
9959,280000
1132,1280000
15203,175000
6573,908800
3666,480000
15088,194000
9465,495000
11234,640000
591,265000
7005,465000
11143,535000
19882,695000
3330,250000
6732,725000
4347,659950
13581,1240000
9380,913000
5326,285000
18684,335000
15053,499000
20170,1310000
8079,787000
10355,536500
16887,265000
3088,495000
4396,1150000
11704,170000
13314,800000
21554,1700000
3077,311000
9648,435000
9874,280000
15671,371000
13852,375000
12537,114000
9860,176000
587,900000
15172,376000
13607,180000
1457,672500
16104,372000
17940,826000
6680,505000
13726,459950
10623,563225
21172,303500
21144,1070000
2393,299500
14115,875000
16754,615000
12983,180000
14004,230000
547,259950
20165,665000
12102,315000
12634,269900
5386,575000
146,890000
11900,1290000
7942,251000
11527,550000
19209,675000
17371,658500
14076,830000
11088,530000
15825,1160000
518,2250000
8538,752000
5726,250000
13458,446800
19010,565000
8952,400000
11025,998500
13138,950000
18699,306000
13634,898000
6002,252000
1401,280000
19448,439000
2989,765000
20304,540000
13696,600000
4934,590000
16370,490000
19757,580000
10345,395000
4371,221000
20779,749950
18797,612000
19593,689000
18335,345000
649,425000
4604,263000
11944,940000
9180,570000
2742,388000
16385,395000
4740,1490000
3963,235500
21125,310000
9568,460000
19077,250000
990,585000
11614,613000
10277,401500
12150,418000
20520,960000
5179,220000
3804,772000
12185,857500
4793,605000
13160,540000
9684,601000
2438,349950
12898,626000
6400,225500
19295,475000
79,720000
15983,564000
16977,975000
8997,375000
9339,598000
16523,460000
19403,205000
16473,319950
15973,447000
4395,249950
594,360000
16896,457000
19728,301500
4136,339999
20800,312000
19978,619000
5329,195000
12504,445000
7489,841000
12700,218000
2773,416000
6322,415000
6705,458500
21428,580000
15159,509900
20329,855000
16362,332100
1926,316500
1782,443000
8676,454280
5372,185850
4514,360000
19693,885000
13403,122000
2138,735000
17156,379950
3756,345100
21113,365000
18044,820000
9807,225000
10036,425590
17621,776000
13755,216000
12627,585000
16501,821000
6321,325000
7390,300000
2917,160000
10477,301350
20561,429000
15347,1050000
6759,780000
5358,335000
15277,250000
18239,339900
15130,345000
6003,464625
5258,439990
10619,455500
6809,203000
2359,234000
8975,225000
623,605000
5219,852500
17563,763000
17900,401000
3906,420000
15061,1580000
1089,837700
2681,687000
13175,420000
6210,1030000
9319,720000
19461,431200
639,1120000
159,320000
9186,1500000
1165,460000
12394,253500
12291,741000
3209,393820
3978,310597
1626,1200000
1365,450000
15796,392000
6330,455850
16055,247500
5556,406430
12951,383000
18171,1100000
11866,465000
11872,380000
232,315000
13559,479950
8096,315000
13916,240000
9296,727000
11838,494500
2828,145600
17478,275000
14460,600000
17560,312900
7497,250000
20911,246950
16600,229000
2882,525000
1010,475000
19974,897000
9622,360000
2800,525000
16789,225000
5348,407000
21257,320000
15659,680000
6895,410500
8273,453000
20197,347500
16366,525000
3305,208000
17679,389900
7847,613200
10300,312500
8297,325000
17020,303000
18523,665000
13901,712500
2663,670000
20153,502000
10804,715500
17832,1380000
10828,700000
906,255000
8747,1180000
