,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,distance_to_city,price_per_sqft,clusters,cluster
44,309000,3,1.0,1280,9656,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,20.18903353,241.40625,0,pink
45,488000,3,2.5,3160,13603,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,40.54976958,154.43037974683546,0,pink
46,210490,3,1.0,990,8528,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,18.53020789,212.6161616161616,0,pink
47,785000,4,2.5,2290,13416,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,20.42820857,342.7947598253275,3,dark purple
48,450000,3,1.75,1250,5963,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5.556090079,360.0,0,pink
49,1350000,3,2.5,2753,65005,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,17.84823882,490.37413730475845,1,purple
50,228000,3,1.0,1190,9199,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,11.07359881,191.5966386554622,0,pink
51,345000,5,2.5,3150,9134,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,17.62472749,109.52380952380952,0,pink
52,600000,3,1.75,1410,4080,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,6.899608741,425.531914893617,3,dark purple
53,585000,2,1.75,1980,8550,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6.499509471,295.45454545454544,3,dark purple
54,920000,5,2.25,2730,6000,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6.577144455,336.996336996337,3,dark purple
55,885000,4,2.5,2830,5000,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5.762012371,312.7208480565371,3,dark purple
56,292500,4,2.5,2250,4495,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,28.48986025,130.0,0,pink
57,301000,3,2.5,2420,4750,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,27.72829378,124.3801652892562,0,pink
58,951000,5,3.25,3250,14342,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,24.34985446,292.61538461538464,3,dark purple
59,430000,4,3.0,1850,9976,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,21.55643539,232.43243243243242,0,pink
60,650000,3,2.25,2150,21235,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,10.5335793,302.3255813953488,3,dark purple
61,289000,3,1.75,1260,8400,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,10.34355722,229.36507936507937,0,pink
62,505000,3,1.75,2519,8690,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,10.02996441,200.47637951568083,0,pink
63,549000,3,1.75,1540,1044,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,4.248510177,356.4935064935065,3,dark purple
64,425000,3,2.25,1660,6000,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4.187208241,256.0240963855422,0,pink
65,317625,3,2.75,2770,3809,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4.018928373,114.66606498194946,0,pink
66,975000,4,2.5,2720,11049,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,15.95563678,358.45588235294116,3,dark purple
67,287000,4,2.5,2240,4648,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,18.35937439,128.125,0,pink
68,204000,3,1.0,1000,12070,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,28.99906437,204.0,0,pink
69,1330000,5,2.25,3200,20158,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,13.35669356,415.625,1,purple
70,1040000,5,3.25,4770,50094,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,19.57975577,218.02935010482182,1,purple
71,325000,3,2.0,1260,5612,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,18.84677265,257.93650793650795,0,pink
72,571000,4,2.0,2750,7807,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,8.245206793,207.63636363636363,3,dark purple
73,360000,4,2.5,2380,5000,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,36.35349827,151.26050420168067,0,pink
74,349000,3,1.75,1790,50529,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,32.90615588,194.97206703910615,0,pink
75,832500,4,4.0,3430,35102,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,38.69368616,242.71137026239066,3,dark purple
76,380000,4,1.75,1760,7300,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,23.31629357,215.9090909090909,0,pink
77,480000,3,1.0,1040,5060,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,7.165498936,461.53846153846155,0,pink
78,410000,3,1.0,1410,5060,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5.787234565,290.78014184397165,0,pink
79,720000,4,2.5,3450,39683,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,37.92639264,208.69565217391303,3,dark purple
80,390000,3,2.5,2350,5100,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,39.43370995,165.95744680851064,0,pink
81,360000,4,2.5,1900,5889,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,37.1475588,189.47368421052633,0,pink
82,355000,2,1.0,2020,6720,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6.134804154,175.74257425742573,0,pink
83,356000,3,1.5,1680,8712,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,22.02508278,211.9047619047619,0,pink
84,315000,3,1.0,960,6634,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7.415178604,328.125,0,pink
85,940000,3,1.5,2140,3600,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,3.64539736,439.25233644859816,3,dark purple
86,305000,5,2.25,2660,8400,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,24.9437969,114.66165413533835,0,pink
87,461000,3,3.25,2770,6278,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,15.95748901,166.4259927797834,0,pink
88,215000,2,2.25,1610,2040,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,16.57611693,133.54037267080744,0,pink
89,335000,2,1.75,1030,1066,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,7.196792263,325.24271844660194,0,pink
90,243500,4,2.5,1980,7403,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,19.5364348,122.97979797979798,0,pink
91,1100000,5,2.75,3520,6353,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6.704274702,312.5,1,purple
92,153000,3,1.0,1200,10500,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,17.25899801,127.5,0,pink
93,430000,3,1.5,1580,5000,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,7.301973667,272.1518987341772,0,pink
94,700000,3,1.5,1580,5000,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,7.301973667,443.0379746835443,3,dark purple
95,905000,4,2.5,3300,10250,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,9.623626414,274.24242424242425,3,dark purple
96,247500,3,1.75,1960,15681,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,16.34005876,126.27551020408163,0,pink
97,199000,4,1.5,1160,6400,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,18.88964071,171.55172413793105,0,pink
98,314000,3,1.75,1810,41800,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,43.51529694,173.48066298342542,0,pink
99,437500,3,2.5,2320,36847,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,69.41683346,188.57758620689654,0,pink
100,850830,3,2.5,2070,13241,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,2.858362565,411.0289855072464,3,dark purple
101,555000,3,2.0,1980,3478,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,5.756063045,280.3030303030303,3,dark purple
102,699950,3,2.25,2190,107593,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,29.91076446,319.61187214611874,3,dark purple
103,1090000,3,2.5,2920,8113,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,15.51420075,373.28767123287673,1,purple
104,290000,3,1.0,1210,33919,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,19.64868582,239.6694214876033,0,pink
105,375000,3,2.5,2340,10005,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,24.52293867,160.25641025641025,0,pink
106,460000,3,1.0,1670,4005,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,6.824801018,275.4491017964072,0,pink
107,188500,2,1.75,1240,2493,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,13.70240885,152.01612903225808,0,pink
108,680000,4,2.5,3140,28037,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,28.97840586,216.56050955414014,3,dark purple
109,470000,5,1.75,2030,12342,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,25.15962249,231.5270935960591,0,pink
110,597750,4,2.5,2310,9624,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,31.60696595,258.76623376623377,3,dark purple
111,570000,3,1.75,1260,3328,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,4.558417575,452.3809523809524,3,dark purple
112,272500,3,1.75,1540,12600,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,36.82374456,176.94805194805195,0,pink
113,329950,3,1.75,2080,5969,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5.789402324,158.62980769230768,0,pink
114,480000,4,2.5,3230,16171,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,19.59067679,148.60681114551085,0,pink
115,740500,3,3.5,4380,6350,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6.395896634,169.06392694063928,3,dark purple
116,518500,3,3.5,1590,1102,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,4.490985592,326.1006289308176,3,dark purple
117,205425,2,1.0,880,6780,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,11.62935703,233.4375,0,pink
118,171800,4,2.0,1570,9600,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,7.637397926,109.4267515923567,0,pink
119,535000,4,1.0,1610,2982,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4.731693376,332.29813664596276,3,dark purple
120,660000,3,2.5,2400,6474,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,11.21986824,275.0,3,dark purple
121,391500,3,2.0,1450,9132,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,13.9753717,270.0,0,pink
122,395000,2,1.0,770,6000,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6.239519491,512.987012987013,0,pink
123,445000,4,1.75,2100,4400,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,9.012301082,211.9047619047619,0,pink
124,770000,3,2.25,2910,10204,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,26.73012554,264.6048109965636,3,dark purple
125,1450000,4,2.75,2750,17789,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,13.64017787,527.2727272727273,1,purple
126,445000,3,2.25,2100,8201,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,11.74311964,211.9047619047619,0,pink
127,260000,4,2.25,2160,8811,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,18.75246899,120.37037037037037,0,pink
128,822500,5,3.5,2320,4960,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4.362931568,354.5258620689655,3,dark purple
129,430000,4,2.5,2070,4310,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,54.09081938,207.72946859903382,0,pink
130,212000,3,1.75,1060,7875,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,28.39162058,200.0,0,pink
131,660500,4,2.25,2010,9603,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,31.53226644,328.60696517412936,3,dark purple
132,784000,3,3.5,3950,111078,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,29.65205171,198.48101265822785,3,dark purple
133,453246,3,2.5,2010,2287,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,37.5957943,225.4955223880597,0,pink
134,675000,4,3.5,2140,2278,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,6.279282843,315.42056074766356,3,dark purple
135,199000,3,1.75,1320,17390,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,17.46715423,150.75757575757575,0,pink
136,220000,4,1.75,2020,7840,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,17.08793208,108.91089108910892,0,pink
137,452000,4,2.25,2590,10002,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,12.11785977,174.51737451737452,0,pink
138,382500,2,1.0,1190,4440,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,8.095919266,321.42857142857144,0,pink
139,519950,3,2.25,1170,1249,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,6.327247279,444.4017094017094,3,dark purple
140,665000,2,1.0,1110,3200,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,2.942443365,599.0990990990991,3,dark purple
141,527700,5,2.5,2820,9375,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,23.09988512,187.12765957446808,3,dark purple
142,205000,3,1.0,1610,8579,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,20.36888309,127.32919254658385,0,pink
143,420000,3,1.0,1060,8097,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,6.44160275,396.22641509433964,0,pink
144,500000,4,2.25,2030,8517,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,18.22716942,246.30541871921181,0,pink
145,921500,4,2.5,3670,315374,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.026,2840,35.19429488,251.0899182561308,3,dark purple
146,890000,4,1.0,2550,4000,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,2.520518769,349.01960784313724,3,dark purple
147,430000,2,2.5,2420,60984,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,43.83460066,177.68595041322314,0,pink
148,258000,5,2.0,2260,12500,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,1360,14.25029378,114.15929203539822,0,pink
149,511000,3,1.0,1430,3455,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4.569255174,357.34265734265733,0,pink
150,532170,3,2.0,1360,3090,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,4.813327239,391.3014705882353,3,dark purple
151,560000,3,1.0,1110,5000,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,3.785901237,504.5045045045045,3,dark purple
152,282950,3,1.0,1250,8200,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,17.28328574,226.36,0,pink
153,2250000,4,3.25,5180,19850,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,19.41285943,434.36293436293437,2,medium purple
154,350000,1,1.0,700,5100,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5.605583826,500.0,0,pink
155,215000,3,1.0,1180,7669,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,20.10845399,182.20338983050848,0,pink
156,650000,5,3.5,3960,25245,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,18.78471046,164.14141414141415,3,dark purple
157,320000,4,2.75,2640,7500,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,18.08098631,121.21212121212122,0,pink
158,247000,3,2.0,1270,7198,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,44.54275182,194.48818897637796,0,pink
159,320000,4,1.75,1760,11180,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,25.46205612,181.8181818181818,0,pink
160,255000,5,2.25,2060,8632,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,7.304447473,123.7864077669903,0,pink
161,438000,3,1.75,1780,9660,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,16.97431719,246.06741573033707,0,pink
162,900000,3,2.5,3400,16603,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,34.65874802,264.70588235294116,3,dark purple
163,441000,3,2.75,1910,7280,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,14.2601363,230.89005235602093,0,pink
164,420000,3,2.0,2020,38332,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,35.80894284,207.92079207920793,0,pink
165,370000,3,1.75,1580,7000,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,19.65459583,234.1772151898734,0,pink
166,269950,2,1.75,1340,7250,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,12.07315985,201.455223880597,0,pink
167,807100,4,2.5,2680,4499,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,23.46820791,301.15671641791045,3,dark purple
168,653000,3,2.5,2680,9750,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,12.76254764,243.65671641791045,3,dark purple
169,371500,3,2.0,1370,8336,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,8.055801426,271.1678832116788,0,pink
170,284000,3,1.75,1560,21000,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,1070,7.909557675,182.05128205128204,0,pink
171,272000,3,1.75,2160,7140,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,18.83797215,125.92592592592592,0,pink
172,313000,3,1.5,1340,7912,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,9.248621091,233.5820895522388,0,pink
173,917500,4,2.5,3880,35003,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,17.11722503,236.46907216494844,3,dark purple
174,673000,4,2.25,2590,8190,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,23.49006105,259.8455598455598,3,dark purple
175,425000,3,2.5,1120,1100,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,2.741418835,379.4642857142857,0,pink
176,399950,5,2.75,1970,5400,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,3.282069562,203.0203045685279,0,pink
177,385000,3,1.0,1220,4800,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,3.075097935,315.57377049180326,0,pink
178,269950,3,1.5,1950,7560,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,44.61504452,138.43589743589743,0,pink
179,330000,2,1.0,1350,8220,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,7.144689438,244.44444444444446,0,pink
180,260000,3,2.5,1670,5797,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,23.18788865,155.688622754491,0,pink
181,470000,4,3.0,2380,5125,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,6.289103977,197.47899159663865,0,pink
182,589000,4,3.0,2440,9600,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,15.97650173,241.39344262295083,3,dark purple
183,163500,2,1.5,1050,3419,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,35.48971246,155.71428571428572,0,pink
184,835000,4,2.75,3130,13412,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,26.39997112,266.77316293929715,3,dark purple
185,1100000,5,3.0,4090,12850,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.188,2540,16.59874475,268.9486552567237,1,purple
186,269000,4,1.75,1490,10000,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.379,2190,18.55686268,180.53691275167785,0,pink
187,560000,3,2.5,1900,8744,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,32.43532596,294.7368421052632,3,dark purple
188,615000,4,1.0,1330,2400,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,2.422569239,462.406015037594,3,dark purple
189,585188,3,2.25,2230,10026,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.153,2230,20.45320133,262.41614349775784,3,dark purple
190,305000,3,1.75,1650,9480,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,17.38228242,184.84848484848484,0,pink
191,166950,3,1.0,1190,8820,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,18.94047943,140.2941176470588,0,pink
192,799000,3,2.5,2140,9897,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,13.34477637,373.3644859813084,3,dark purple
193,400000,3,2.5,2180,7508,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,8.927589491,183.4862385321101,0,pink
194,230000,3,1.0,1060,10228,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,9.04111267,216.9811320754717,0,pink
195,256883,3,2.5,1690,5025,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,2550,19.83289489,152.00177514792898,0,pink
