,Actual,Predicted
6609,545000,896951.1755093038
3631,550000,694169.1244857013
506,529000,472064.77476264536
1850,500000,533856.5488746315
12801,787500,433448.64344255626
8441,549950,423475.6471737623
2786,638500,515947.5782573372
10217,136500,64180.08107063174
20014,918000,913078.3575728089
13086,390000,468438.23481720686
3475,629000,495289.38880215585
14217,360000,324316.48649404943
3926,405000,465424.8054688573
18229,510000,688420.7212366313
15484,250000,135061.820731014
2364,366500,599723.6365513057
6245,332500,377592.6867392063
20811,369946,411666.9005892277
20466,500000,432949.49057133496
275,365000,570351.5784304887
19896,430000,236185.97360032797
4014,760750,847251.0569791496
13530,420000,512216.0383063704
9489,405000,267998.7132374495
17720,565000,616465.6711310595
19822,285000,396318.0833095908
21082,431000,588507.8272654563
19878,390000,487959.5080078095
12637,890000,288113.2920868993
5544,565000,645657.7443020642
3137,473000,459499.27371151745
6840,286651,246659.4774747193
8084,285650,348276.02701565623
1026,315000,381361.721425876
10579,379900,385554.90056848526
11146,256000,215292.9498194307
15448,497950,398516.9681594968
6544,346100,262838.86192952096
18103,499000,600666.2950046062
9350,715000,662199.3252844065
14777,635000,988781.1306963116
18723,512000,410243.11970709264
5398,250000,349321.7214703709
608,223000,209166.74504584074
2776,325900,382096.28749489784
13433,265000,194514.20229624212
21141,270000,286947.13399878144
6158,455000,666082.1546602249
1398,408000,385350.3284290433
12235,650000,752970.9227494001
3660,400000,88173.8704252541
10041,465000,720188.6572985351
20353,399950,313775.3628707379
3402,726000,755037.4174716175
3519,525000,562486.2856672257
7652,190000,21681.45883758366
6410,211000,117272.15724208951
17188,1380000,1258092.062376827
5283,322200,438019.6759892702
16531,293000,189922.5383669436
8473,340000,459749.8395614624
15750,315000,313485.61395835876
8301,549000,660100.7482079268
17267,350000,231034.52638444304
10636,425000,472955.0602545291
19634,299000,420064.056677714
15572,436000,477675.83551211655
9760,366000,489803.7469444424
8130,234000,165858.98807941377
8645,244900,311702.0885357708
5421,525000,582994.352936253
16293,321000,172260.53056316078
13733,810000,759902.1967543811
15344,389000,461767.8230113238
2093,248000,271103.3453692943
352,315000,308941.2632327527
12695,1350000,820407.4060740173
3286,476500,417920.5493300706
14153,476000,296387.9435919076
12122,219950,228383.20200064778
8382,1010000,535928.4702926874
13627,439000,446929.1564839184
8226,480000,604046.449388504
1468,652000,477621.7986276001
8451,299000,352949.93585576117
1772,305000,370175.82719410956
8712,525000,757145.0755726397
17988,212000,69333.53471666574
17518,870000,617164.9227460772
5607,318000,314884.22090145946
21569,399950,415556.86792355776
13067,385000,533052.5595854372
14087,424000,446314.3951007724
8419,700000,960430.7404793948
938,350000,262321.21352252364
14904,599000,661937.3796813637
17783,523000,485986.82046994567
21385,775000,714630.845441997
6753,415000,516202.08597806096
2797,310000,389574.9403694421
15718,850000,971235.6568505317
6012,176000,173569.5494120717
749,435000,406512.2393555939
10395,965000,1045953.9584227055
8057,200000,42528.69603008032
6673,535100,572709.7087662816
17810,480000,748861.0278663337
17229,300000,370474.10791924596
17302,247500,233467.02026824653
3810,2890000,1548119.573804617
10775,710000,994113.4746553451
3361,403500,683533.3043669015
510,585000,620497.3996488452
14411,115000,76627.17511430383
15889,315000,459261.56584502757
11410,189000,245984.21354034543
5101,549000,624130.2985125035
17166,399950,705550.3778426498
18402,850000,871071.1954570711
20239,607500,482282.19431230426
10676,350000,338279.3015893698
20766,380000,378511.2074315101
18511,335000,225628.66949500144
989,640000,646413.0837043822
3003,441000,366502.5102587044
11015,665000,736561.1665583402
11242,450000,611416.498417452
9088,204700,269142.3270134032
21208,374000,326481.55377449095
15401,305000,287768.72646175325
19551,323000,377020.7037489861
3455,345950,459936.3058094084
3008,1330000,1035947.4857671708
1480,455800,370642.8075864762
3579,355000,146947.53581993282
875,147500,299931.6762024462
1903,1050000,902121.2818626612
8209,320000,384542.1006125808
7100,330000,258742.24169906974
6405,695000,688478.5257076621
19985,649950,660535.0524137318
4476,315001,277854.06160485744
19550,1360000,1413163.1291345507
2979,390000,563918.4550935328
15235,2300000,1266793.5536752194
6295,319950,237013.01564249396
9305,370000,335667.45365665853
7868,435000,357810.1824835539
7040,715000,775371.7221758068
2999,307450,393329.50738348067
1201,263000,397268.6831178814
8029,333000,486327.51436702907
3783,284700,258255.73244859278
16777,230000,166333.413970083
17513,495000,567418.0447112918
2741,340000,425009.505303517
8018,435000,605228.7655446529
6077,670000,612435.1649923921
2539,350000,317411.85365234315
15043,690000,508883.82688616216
9955,335000,275990.08093847334
14000,214950,241174.94969160855
7003,1390000,1455904.1113117486
6790,1900000,1350352.9720989615
9299,439000,461176.3427054137
18398,630000,464031.40199124813
20677,499950,453839.74072891474
13918,750000,737948.1618640125
17802,334500,447595.4685462564
33,535000,509117.01098810136
6954,196500,127420.1937969327
5129,770000,835904.2235948741
16779,459500,367170.6662479639
14966,385000,380699.3739428669
12372,670000,743715.5006871223
15099,268000,168664.60302971303
12795,515000,540050.345080018
6672,279000,324031.02612781525
7004,177000,207851.3070549518
9282,432500,513069.6453617811
6992,433000,533698.8823585659
5463,595000,534631.0223287195
10697,456700,690279.665955469
14366,546000,501000.68512032926
13108,300000,427077.4398843944
10033,262000,261001.85275910795
153,2250000,1637666.944793716
4184,400800,192817.04212246835
21230,485000,396898.1502879858
10949,1650000,956803.8544801325
3406,442000,504522.46434387565
16058,814842,933503.4278906286
1945,930800,1085231.6867146343
20514,505000,451600.02575820684
17427,257000,394597.7777428478
14391,302000,400945.3603063673
16593,585000,780145.046230182
11864,650000,1054892.7563195229
20804,1250000,944822.8624195158
5879,400375,297261.0631559789
14110,358000,-33288.56778673828
516,308000,326565.9457770586
2879,599950,727539.6717191786
2372,443725,391226.85843646526
13348,690000,827384.3432589173
19130,635500,557502.5376762599
596,372500,408805.0708427876
20383,480000,515792.899779886
8919,348000,336238.890684098
13664,338000,453134.87543177605
11734,485000,639471.2407016009
9826,352000,470311.1433323324
6899,570000,521297.3296367228
10735,545000,466997.54183121026
9617,499990,484788.0416544974
21311,659000,733683.5281048119
5860,1730000,1175776.904078111
18997,810000,1062137.2279177904
12344,275000,193548.70797385275
10859,392500,492272.8189521134
921,255000,269755.26460678875
5674,575000,577956.4979220033
4030,325000,464137.63632287085
12660,680000,701287.1636127979
5707,286900,281431.5297445357
18383,259000,78551.53292436898
19154,230000,120128.25202469528
7663,1470000,1266629.1971496493
17242,401750,304156.43607340753
1841,824500,765610.4513885528
13217,370000,576454.2129152715
17413,480000,624699.3600198627
11414,273000,287319.6298972964
6228,375000,424532.9638662636
15859,172500,76554.99513880908
6570,303000,361919.77352179587
8652,355000,585111.0289570987
11642,190000,282931.5210481286
16850,1200000,1357835.4130907059
2952,438000,430334.93653289974
397,365000,510324.8893632144
5551,434000,493481.8946199566
18249,740000,713410.5352425277
18839,296500,288523.4437157661
18422,589000,465444.0287810266
6948,1490000,1712533.0875681043
8763,309950,340256.0132882744
4207,255000,7219.61428450048
15023,330000,319954.651493907
2098,365000,402698.5694845617
12825,229000,236272.00581736863
13349,551000,487813.33887575567
15162,805000,731493.837014854
3011,945000,677127.0697119832
9970,342000,420105.0796145946
9185,267100,284019.69671197236
15187,426500,208216.35837066174
6029,500000,451153.25660444796
565,435000,380466.9200030714
438,438000,491313.42790293694
14212,705000,592294.10504888
2525,535000,490100.1488266438
3486,210000,377965.5886488855
10683,345000,356336.6775790453
9742,780000,781385.0245344341
17801,744000,705247.5541861951
16966,316000,392526.8231328577
10982,349000,425941.1342629492
2377,550000,822125.2006190717
16382,300000,287760.2231567204
1808,415000,436882.2148990631
1295,925000,739803.9807800353
19220,654000,711375.9597737789
227,264950,151012.45269593596
16475,485000,473393.892417863
1883,150000,252817.07324708998
8656,485000,557876.6622348279
7302,302000,231270.93115243316
10240,426000,610284.3959139436
14413,580050,956011.9854491055
16708,2140000,1676970.4929097444
3208,680000,532014.0674874485
2000,280000,278608.52764377
13198,551000,841475.9988566935
6469,503500,342025.59828169644
19040,879950,1098748.2772421837
19363,440000,553171.0491241068
16798,630000,791395.6898798347
6202,277000,279646.98592853546
12420,1170000,1454611.5043629706
11965,750000,616014.9773384184
9737,300000,209083.99330174923
2811,845000,620970.6899386793
891,395000,539237.7993326932
17955,525000,548496.4770304561
16688,580000,627076.5109858215
21087,277140,336257.4446901232
7168,420000,605498.9701976776
14100,407185,484477.2050655186
13061,2250000,1066681.167703271
9053,706000,671220.4303882718
20102,407000,374055.2969212532
9814,485000,487562.9416435212
12806,760000,926429.4023796022
4244,375000,252765.53790938854
13623,1640000,1410634.892144233
484,1390000,1147186.2193715721
13420,450000,439641.11951859295
20361,591975,652455.7880588025
8266,292000,346458.75119288266
19784,387865,401254.7084121108
1236,438000,589029.198263377
2858,322000,175466.9801775515
18650,535000,386619.0387277901
246,2400000,1584842.2356730103
20498,324950,314022.7711921334
5918,1200000,976514.6795232743
2360,500000,658647.6610685885
11623,412000,437100.1745467484
20542,350000,487713.8299834877
10871,656000,563336.1417737305
7978,432000,684847.8542366475
3315,590000,658586.7940131724
19583,187500,-24489.99751162529
8343,319000,496074.0107240975
12783,149500,84475.9528618604
18358,343000,224329.71494419873
625,289500,155093.4002225101
3785,816000,526425.212463513
7319,363500,594874.2514927387
20363,673000,615300.6758435667
1998,722500,781235.5261997879
21370,608000,412696.9512324035
8439,607000,809703.0248089284
8178,357500,352384.7746889144
17359,739000,749567.1620415449
20121,254950,248814.12215481699
18436,384950,457443.1972773969
3484,195000,151065.71621146798
110,597750,539008.432892412
3267,805500,489549.2927483916
10374,350000,397714.2062666416
13892,539500,714941.8909059018
11166,272000,73298.28737853467
9772,450000,447008.3512250781
20660,1050000,1120282.4893675297
14807,219900,112860.99959224463
11851,432000,547727.2832349241
9521,575550,555886.3778926581
7490,515000,538309.4048211873
415,570000,694894.3186799437
5033,459000,470528.51073364913
3629,435000,221349.53193609416
4067,979000,724662.4034488499
8839,347000,340979.414158389
10437,3400000,1484099.303606093
2038,320000,364443.0015025139
18705,946000,830406.1960949898
1758,535000,707519.3115617484
16111,382500,306699.2105629295
19089,853000,980361.5998339504
2430,306000,392213.9112800658
13509,135000,110128.22655421495
21463,1010000,802468.81186454
21449,337500,275285.5984888673
7593,539950,406388.61999987066
10406,439950,384011.86666333675
13332,385000,516471.5165181309
813,625000,570776.3783393502
10521,366000,470414.17089624703
20370,394000,236267.699208349
11462,1180000,1042225.637015596
21353,553000,839562.6721265912
11304,485000,648736.0948396325
741,459000,380631.508459419
20965,399900,413092.3242762834
20708,750000,996747.5231020898
19811,950000,1332052.7786706984
11214,229950,249453.58081063628
9546,1800000,1431929.8990885615
14169,525000,626411.112572372
11456,1660000,956922.2358922958
8231,415000,514876.59002541006
19326,535000,667110.7626616061
6838,675000,688027.0900759697
4115,910000,1106934.8332317919
4170,1190000,738599.0100266337
4485,306500,173415.2279149741
12989,330000,517338.54184259474
21268,706000,553217.4060164392
16020,374990,556448.0180060714
16258,454450,593766.0855943263
15797,412500,436037.5392933637
4339,348500,329523.83862264454
554,396000,539879.3116686195
15420,1000000,1048338.7166593969
15974,129000,222902.07952398062
17962,200000,369707.93520992994
14803,545000,741283.0389519185
9914,775000,976959.0893472582
17152,800000,881883.8325174749
183,163500,106502.88944917917
6611,225000,155642.23673981428
16167,218000,150200.47664354742
6095,555000,832169.8020335436
9177,585000,645034.5410580337
2935,685530,790956.3320479542
4510,785200,795786.5519895703
1113,525000,472014.56157654524
2609,379000,228063.8934456259
18720,229000,571558.3792080134
9188,975000,1111712.902203694
2907,579950,520117.8342016041
4166,232000,129385.46447768807
17881,462500,214975.64569063485
15429,305000,372247.21137942374
15529,135000,62631.19588114321
17325,476800,568608.0426006317
6839,255000,281078.38955166936
1383,433500,453678.38486017287
14988,555950,392430.1983483881
4131,292000,528507.3438557684
2278,418000,246101.10626852512
221,279950,267250.36335101724
17910,115000,183544.38208149374
1953,550000,684513.3187996745
12307,440000,645158.5442625433
9907,645000,696575.7379376888
15993,747000,626995.7038016617
10460,1050000,819325.667500943
44,309000,182801.87423953414
14615,229000,207777.19761936367
12761,363500,433422.354195565
18813,760000,769825.4000415504
5065,643000,512460.24421940744
17950,765000,932815.0576693714
6603,675000,613502.1596984714
10077,475000,462428.20454770327
4137,1210000,999778.2553694099
10698,925500,869864.4316408485
3920,475000,427169.03521101177
6468,362000,525626.8872300535
18937,268000,339215.1237799674
1174,505000,423032.65903770924
1621,610000,1211287.0410409123
14505,230000,291438.00515931845
2932,276000,320408.52084580064
10467,820000,916707.5712991506
9436,593000,594040.8832733333
3310,296000,135022.23495195806
8632,430000,538705.2402993739
5815,570000,626702.9066272229
10037,235000,193900.9955048412
3782,149000,258255.73244859278
11212,746500,961503.8716029227
15125,425000,520550.37879514694
8861,350000,282217.94199872017
6105,1240000,962819.5701709986
18567,435000,565213.8634056896
19645,535000,457159.70631738007
4368,499950,469548.2451479882
18201,452000,377603.751831457
21292,579950,389068.8124051988
8994,230000,322849.57270491123
14405,700180,606711.2658144385
20744,358000,346161.83568146825
9779,202000,148824.02103871107
6161,382000,513479.3726322055
10339,1200000,1081383.8118023872
17180,526000,463762.8069896102
21210,610000,445167.93018239737
9926,1280000,1091700.0002854764
17648,625000,779571.774927184
13971,235000,230515.60187146068
5132,690700,717361.9326241761
21135,950000,985067.4588835835
19200,900000,877934.6845736951
11386,275000,342332.7400805056
17454,395000,327529.74318534136
6722,265000,244484.77108998597
19842,1080000,1210456.9557144642
8083,238000,136109.5724285841
6654,554000,761243.3396113813
7716,249900,300861.55523586273
16251,600000,789702.798391521
17773,475000,558563.4762584418
19241,660000,605606.9894292951
13274,272000,156019.81071434915
10759,603000,567458.7189593315
10976,730000,723509.9875093102
2958,378000,141992.43692043424
14929,1380000,1366659.5175361931
6669,215000,81269.57471071184
11528,460000,686076.024695009
14046,289000,236267.1263758242
6483,410000,654624.3614145815
17871,379000,514528.0426103771
14160,230000,246957.70186705887
20606,982000,941487.8210368454
13392,765000,756747.236993134
20373,580000,730477.2582091093
1312,255000,254174.69194945693
5291,1160000,1028476.2555267662
14439,345000,83091.20953117311
3403,515000,491305.6051059514
19436,539000,570656.7572170943
4209,270000,503684.70616167784
13100,1140000,1282673.0928719044
15230,1150000,1167872.5185119808
20568,344000,338419.1126732975
2182,150000,314079.526654616
13117,465000,362012.2910955101
694,690000,770562.0025927275
7877,625000,563901.220225811
5987,780000,725493.3162445128
4117,661000,721590.2990369201
13485,565000,570601.5760892183
3401,221700,400863.88142447174
14247,295000,48873.26912692189
811,419000,438337.6576590091
6826,340000,180491.58197574317
12250,359950,402500.9850806743
19464,351000,232359.73000338674
13941,466950,317224.5384184271
5576,353000,409682.00113742054
14248,760000,780594.0475551784
4617,270000,226935.75884702802
18014,575000,437932.8187607974
2644,895000,1036051.8374064416
10451,1150000,901483.7541503757
13945,439000,842327.6769468784
2802,478000,645456.4321687222
18062,259000,338970.8756404668
12399,311600,333433.3635469675
19027,285000,179063.73397403955
5723,675000,704346.4287088811
2985,950000,735147.7843891531
11011,375000,392602.5986234695
20141,395000,407543.4915407747
14693,475000,636007.5763455182
6437,165000,216877.90135250986
16905,415000,483059.79614931345
18701,534000,439325.44884450734
391,490000,741352.8388850987
16680,540000,371005.8208824992
3543,436000,613820.9452141076
17328,270000,186528.8709078133
16941,284000,370524.228341043
16874,507500,480712.57974100113
21080,556000,546178.1796817333
8364,536000,712081.9571215212
1350,360000,348093.8508603424
19993,818000,731270.0519978553
3135,752500,822391.9809616804
8196,300000,307194.3817407042
6069,800000,743652.2033661455
12144,367400,340419.05807222426
8290,220000,318535.7449070662
5682,203000,171178.7876854539
7355,907000,768912.3855470419
15206,390000,-63864.6912304312
19150,434000,633589.4728470892
19921,515000,455127.565090701
168,653000,800955.2672745287
231,500000,592974.3013029099
6560,330000,388889.8084664345
15963,475000,611211.156796664
72,571000,810057.3826972544
5149,395000,410760.8263411224
20243,1300000,1081605.3759351969
11055,314500,286579.6066171527
2780,1510000,1103290.2163012028
20851,999950,765160.8053038418
19931,530000,759066.3054495007
14690,335000,603392.8011855781
3874,410000,291659.3198405653
17939,411000,598728.1292987615
2462,262000,106957.91736115515
18320,130000,368853.9523193836
12697,245000,224410.66404047608
1141,620000,484713.06289958954
9265,465000,511351.6856556833
21392,370000,410724.86220265925
18165,590000,640518.3518473953
17609,450000,497907.2003709823
8659,975000,931492.0477387756
2664,456150,548638.0115252733
8678,275000,323237.5064097792
14298,1800000,1527225.6323704273
12028,257000,171434.11667633057
6859,461000,354085.2094704509
18847,680000,853737.4801507741
6399,350000,427833.01746600866
3419,445000,288365.58677479625
4792,538000,425634.6438484341
13255,350000,411807.0080535263
20837,447500,490252.9730165899
11459,268000,279438.66810268164
2713,273000,381439.19757190347
21096,487000,369356.2497215867
12970,310000,262474.83404780924
12098,405000,483433.13040420413
19549,171000,255510.3945710957
10344,385000,505235.9735225886
14958,308000,203310.16571368277
9418,591500,557172.6530599743
20792,374000,529652.021394521
13876,575000,308864.267652601
18895,180000,190335.27709119022
20763,253101,143547.89353615046
13775,585000,380083.9934255034
82,355000,510949.08006733656
10439,304950,188370.8373980224
20722,259950,233839.6948942542
19290,315000,337024.73206304014
7274,767500,927129.9891458899
17113,224400,44860.08295083046
21181,445000,411274.83991354704
837,419950,410575.43654066324
13466,381000,176080.65285392106
16621,205000,151310.65686111152
2085,295000,171999.64878222346
18127,700000,485082.40581157804
9825,475000,446754.4535442591
20781,450000,393939.4010692388
12750,382000,493434.8483221382
21139,915000,703394.4970870167
5632,420000,577887.9589877129
16691,210000,240377.96359553933
2918,772000,729306.886958152
15955,615000,387011.67485259473
18056,375000,510948.996008113
4365,437000,514036.23308850825
8719,614000,893023.4532086104
3257,580000,731374.4547350258
9548,570000,719669.3128612638
2578,378500,650050.0622460544
8165,470500,593408.5635918677
8408,1110000,901229.430736959
11001,522000,335752.79250374436
92,153000,122480.2473899126
11808,250000,374032.6842686385
324,232000,305590.5457057208
18746,554000,518276.17892321944
5071,465000,618953.0321264565
14849,521000,494166.8210822642
11424,245000,159479.23614551127
20482,847093,753864.3906594217
13597,495000,860370.9113517106
7312,286000,445239.1864525825
702,480000,436537.15586954355
4982,790000,940778.8077237457
6027,300000,446485.3052264452
2820,332000,331714.8538045585
12652,150000,197821.3912755102
14908,462600,361139.0510778129
8126,212000,146457.97695545852
3505,695000,787775.587151289
14051,284000,349314.6974661201
5734,265000,214219.02614700794
3561,417000,219051.77504971623
17520,500000,579180.5037985891
343,309600,-142669.39039325714
20284,289950,332428.12571908534
17663,325000,564938.2784143537
12764,290000,418870.8695818931
12045,401000,409589.95978081226
12571,410000,444984.7839291245
2078,875000,897635.9979673028
18739,695000,804918.1917663068
2311,260000,132479.6851554364
20393,929000,1021038.683771655
19013,724950,718815.2236166149
11918,1130000,1111767.5621663034
14869,416100,687025.5897979289
10678,595000,650458.4199078381
10812,795000,805027.9417945147
17750,300000,221434.0003554672
18042,410000,264155.69072318077
11450,561000,561105.0816453695
2385,260000,65436.770516783
6916,540000,632672.7859164476
1225,234000,174848.8019400537
8775,825000,722444.7222549319
21211,635000,488999.0166615248
12735,210000,404403.8921327293
13063,469000,537471.585887298
8586,1150000,954944.5702094138
1090,448000,321493.660605371
16658,775000,918632.0142379254
1892,915000,1001234.8982688189
18586,725000,592151.7780605704
15098,397950,677915.2110295445
13209,713500,698109.4398026317
4111,365070,373573.5308397263
13948,549000,528523.581771344
3860,432000,543231.4224577844
8688,410000,506514.9957652539
15738,508300,438837.17184749246
14498,295000,224166.99868431687
15899,490000,426832.9441624731
10888,430000,524329.2392718345
21309,1500000,1056124.1016722322
3278,527000,608995.9785396606
16892,437500,448814.68758045137
20385,459950,596556.1343895644
2951,250750,447611.03937360644
11189,230000,255448.25859852135
3563,299000,401732.9227690846
17240,685000,729770.2175604701
5519,230000,249231.41003523767
2647,610000,660231.1829357892
5483,268000,281543.2716203779
7878,950000,1213051.701548487
14536,1260000,1090601.9362155795
5226,532500,458457.47024293244
9902,400000,485127.0392642766
16417,865000,887049.165287435
12508,970000,1119369.219175592
12081,550000,669612.1048796326
10792,436000,471425.666118592
8299,256500,198767.781828627
11053,570000,510659.372084558
7115,473000,836692.2382461131
19472,299500,388654.68849241734
13512,620000,601056.5434607267
5601,265000,80355.01252132654
20238,1300000,845800.8219166398
2745,405000,657265.4205515832
3439,699000,764220.188388139
15982,465000,524073.8742773086
4646,415900,141329.11739102006
11624,717000,462037.2292149663
11271,500000,458178.8290684968
6004,340000,424008.2016879022
859,166600,189258.89799548686
21412,1110000,798702.0630682856
10438,695000,776022.5550071597
3423,420000,373838.7644943446
8296,306500,297169.4521548897
12542,90000,333230.5515733659
13353,535000,714852.8874037415
13214,1010000,851470.5362395495
20356,1210000,829319.3769672215
16634,440500,355626.5293095112
13011,360000,300333.4236691743
15876,899950,975049.9202020615
2293,260000,240123.96362672746
15987,465950,416064.8245270848
18430,934000,598163.7335053533
10283,595000,599533.8450274765
9588,236000,150945.05743403733
15214,585000,399735.2587888688
10193,530000,522622.3666508347
6755,969000,955068.8790123016
18476,403500,570840.4703157246
15478,680000,884658.3145493567
18390,235000,193587.52638877928
11999,370000,312314.8707654774
9912,325000,350318.8373975158
19671,1050000,752577.2852260023
14835,648000,809344.1261906177
17795,330000,50157.35640132427
20084,920000,934554.1814456731
2072,235000,151521.19497793913
832,270000,327152.07550290227
13944,733000,623445.2540528923
6020,635000,613181.6908942163
1070,360000,367539.3838724196
5958,796000,882675.575104937
4620,1130000,1340511.9031814635
9332,335000,322092.9275649935
17956,260000,510468.8891185224
11086,450000,661410.5873714536
7476,296500,511291.45975095034
21175,530200,432224.62489549816
14309,405500,345498.15016813576
17157,745000,819773.8738445491
10599,367000,376323.33384379745
1362,933399,1003539.4466110915
17703,775000,216990.59925334156
19212,199900,232255.25623345375
7252,395000,411228.9153871238
19303,221347,255241.0084413141
12797,538000,657123.4735924155
6283,890000,961345.7951640338
2641,190000,74800.55187261105
17585,565000,644283.4641981274
11901,902500,807916.4591155648
12736,518000,499267.5100412816
7648,830000,901189.7982534617
2039,2530000,1634915.3291300535
15366,1950000,1519282.989751473
9371,625000,587320.5452513695
16153,496000,377603.6640743464
2894,180000,331492.63277992606
18862,1950000,1385328.9293856025
10388,180000,116257.89294035733
20427,3000000,1806652.4478671253
16846,280000,342618.29510191083
1520,550000,741203.0086884797
18329,451000,682517.815030694
8471,410988,347519.79444243014
8202,442500,562588.7408888489
7626,380000,622680.478077054
1828,753000,638544.0996842086
7569,625000,798434.3869693428
2521,356500,400819.2622732818
20244,778983,601462.3981666565
18791,280000,428654.65248054266
12051,280000,70230.21054914594
18837,620000,934069.6708032638
19772,230000,194630.6278321147
19872,700000,888607.4382738173
5865,342400,424760.6535768509
6000,725000,743243.8065877259
5395,359950,369068.2014272064
1405,300000,346079.44412378967
17018,190000,190291.58295428753
2752,346950,366304.0926295668
1633,415000,750837.3254378587
8585,955990,890009.6555082947
21366,542525,521581.8955053538
19599,1200000,1323981.1134116203
17011,400000,270255.7640427798
20786,378000,505645.53146733344
13115,256900,321213.5532942116
11929,309000,274430.8007197678
13694,265000,485583.7077136338
3085,708000,325666.6427381784
19762,408000,463129.9115397036
14515,1030000,1105214.2421147525
12078,249500,258024.4894528538
15184,244000,288986.30125518143
2114,491500,646014.312209487
3449,735000,570578.5864637643
81,360000,213360.78074875474
20803,415000,448889.20609231293
10313,714000,658091.2426532805
14287,1500000,1501640.5478225201
21336,930000,756393.1053249687
5975,275000,379936.7042399049
6485,194900,149325.5094730407
16249,380000,316661.92697258294
11344,289000,252977.27170841396
8527,898000,551723.4753138274
419,1550000,1641605.5634688288
4314,250000,176061.58557504416
945,260000,169942.2346661836
4954,317000,308156.9499131143
10405,209950,38656.47853636742
18542,839000,1055652.2983858287
17841,420000,461040.43196454644
5793,424000,499398.36026354134
3736,211000,297131.52663841844
12135,299000,475984.03811210394
13361,664000,627740.9317501485
17131,480000,575848.5619992018
7336,950000,1070048.3023209274
17309,485000,616477.5374451429
10590,422500,375073.739503026
14743,327000,311057.1099283248
7671,725000,377767.4930511415
15457,175000,362087.6080285311
12696,835000,838717.6943757534
9587,220000,229009.08506168425
1455,515000,434144.9490452856
21242,249950,12550.581774652004
15814,700000,1133152.7524937093
