datetime,SaleCount
2014-09-21,5
2014-09-22,91
2014-09-23,103
2014-09-24,99
2014-09-25,79
2014-09-26,90
2014-09-27,5
2014-09-28,3
2014-09-29,83
2014-09-30,55
2014-10-01,86
2014-10-02,73
2014-10-03,67
2014-10-04,4
2014-10-05,3
2014-10-06,69
2014-10-07,91
2014-10-08,75
2014-10-09,79
2014-10-10,86
2014-10-11,2
2014-10-12,3
2014-10-13,63
2014-10-14,89
2014-10-15,86
2014-10-16,90
2014-10-17,74
2014-10-18,6
2014-10-19,4
2014-10-20,84
2014-10-21,90
2014-10-22,80
2014-10-23,75
2014-10-24,58
2014-10-25,5
2014-10-26,4
2014-10-27,96
2014-10-28,117
2014-10-29,92
2014-10-30,85
2014-10-31,40
2014-11-01,5
2014-11-02,1
2014-11-03,73
2014-11-04,73
2014-11-05,77
2014-11-06,78
2014-11-07,74
2014-11-08,5
2014-11-09,3
2014-11-10,81
2014-11-11,50
2014-11-12,82
2014-11-13,100
2014-11-14,69
2014-11-15,2
2014-11-16,3
2014-11-17,83
2014-11-18,87
2014-11-19,82
2014-11-20,86
2014-11-21,82
2014-11-22,7
2014-11-23,4
2014-11-24,79
2014-11-25,71
2014-11-26,47
2014-11-28,2
2014-11-29,3
2014-11-30,1
2014-12-01,96
2014-12-02,97
2014-12-03,80
2014-12-04,66
2014-12-05,60
2014-12-06,6
2014-12-07,2
2014-12-08,74
2014-12-09,78
2014-12-10,75
2014-12-11,77
2014-12-12,68
2014-12-13,4
2014-12-14,4
2014-12-15,79
2014-12-16,69
2014-12-17,64
2014-12-18,67
2014-12-19,42
2014-12-20,8
2014-12-21,2
2014-12-22,67
2014-12-23,62
2014-12-24,31
2014-12-26,38
2014-12-27,2
2014-12-29,64
2014-12-30,43
2014-12-31,45
2015-01-02,45
2015-01-05,59
2015-01-06,42
2015-01-07,54
2015-01-08,49
2015-01-09,36
2015-01-10,1
2015-01-12,42
2015-01-13,43
2015-01-14,51
2015-01-15,45
2015-01-16,53
2015-01-17,1
2015-01-19,8
2015-01-20,46
2015-01-21,56
2015-01-22,48
2015-01-23,48
2015-01-24,4
2015-01-25,3
2015-01-26,48
2015-01-27,57
2015-01-28,60
2015-01-29,43
2015-01-30,35
2015-01-31,1
2015-02-01,2
2015-02-02,48
2015-02-03,46
2015-02-04,53
2015-02-05,50
2015-02-06,51
2015-02-07,3
2015-02-09,56
2015-02-10,54
2015-02-11,61
2015-02-12,48
2015-02-13,69
2015-02-14,3
2015-02-15,1
2015-02-16,6
2015-02-17,69
2015-02-18,86
2015-02-19,75
2015-02-20,72
2015-02-21,3
2015-02-22,13
2015-02-23,71
2015-02-24,98
2015-02-25,95
2015-02-26,60
2015-02-27,50
2015-02-28,5
2015-03-01,6
2015-03-02,43
2015-03-03,63
2015-03-04,100
2015-03-05,78
2015-03-06,58
2015-03-07,4
2015-03-08,1
2015-03-09,68
2015-03-10,74
2015-03-11,88
2015-03-12,75
2015-03-13,71
2015-03-14,6
2015-03-15,3
2015-03-16,83
2015-03-17,95
2015-03-18,95
2015-03-19,71
2015-03-20,64
2015-03-21,15
2015-03-22,4
2015-03-23,92
2015-03-24,101
2015-03-25,123
2015-03-26,105
2015-03-27,109
2015-03-28,8
2015-03-29,8
2015-03-30,91
2015-03-31,73
2015-04-01,88
2015-04-02,103
2015-04-03,75
2015-04-04,4
2015-04-05,6
2015-04-06,84
2015-04-07,102
2015-04-08,112
2015-04-09,92
2015-04-10,77
2015-04-11,13
2015-04-12,13
2015-04-13,89
2015-04-14,121
2015-04-15,77
2015-04-16,77
2015-04-17,83
2015-04-18,5
2015-04-19,6
2015-04-20,77
2015-04-21,119
2015-04-22,121
2015-04-23,110
2015-04-24,103
2015-04-25,16
2015-04-26,13
2015-04-27,126
2015-04-28,121
2015-04-29,113
2015-04-30,83
2015-05-01,77
2015-05-02,6
2015-05-03,10
2015-05-04,102
2015-05-05,94
2015-05-06,88
2015-05-07,76
2015-05-08,54
2015-05-09,3
2015-05-10,2
2015-05-11,40
2015-05-12,49
2015-05-13,31
2015-05-14,11
2015-05-15,1
2015-05-24,1
2015-05-27,1
